Mirror Number:       35;Sample Number:         200000

Ray Efficiency:        0;Field Efficiency:     1176355462

Unfocus Number:  4280766;Unreflected Number:         720101

   -9   -9      462

   -9   -8      867

   -9   -7     2878

   -9   -6      937

   -9   -5      986

   -9   -4    18594

   -9   -3     1986

   -9   -2      992

   -9   -1     2443

   -9    0    15453

   -9    1     2752

   -9    2     1987

   -9    3    43817

   -9    4     1607

   -9    5    17974

   -9    6     2548

   -9    7      908

   -9    8      988

   -9    9      951

   -9   10     9030

   -8   -9     3355

   -8   -8        0

   -8   -7     1663

   -8   -6      577

   -8   -5    15440

   -8   -4     3108

   -8   -3    15695

   -8   -2    18213

   -8   -1     2928

   -8    0    14272

   -8    1        0

   -8    2    22605

   -8    3     4993

   -8    4      888

   -8    5    19233

   -8    6     1162

   -8    7        0

   -8    8     4093

   -8    9     3591

   -8   10        0

   -7   -9     1974

   -7   -8      991

   -7   -7    18595

   -7   -6    12547

   -7   -5     1713

   -7   -4     5426

   -7   -3    16506

   -7   -2     1933

   -7   -1     1344

   -7    0    36750

   -7    1     1561

   -7    2     5091

   -7    3     1866

   -7    4      994

   -7    5     1980

   -7    6     2816

   -7    7     1119

   -7    8        0

   -7    9     5533

   -7   10     1543

   -6   -9     4023

   -6   -8     4807

   -6   -7     3536

   -6   -6     2075

   -6   -5     1634

   -6   -4     1990

   -6   -3     1498

   -6   -2    12718

   -6   -1    10620

   -6    0      908

   -6    1      976

   -6    2     2668

   -6    3     6902

   -6    4    16771

   -6    5     1870

   -6    6    16091

   -6    7     2392

   -6    8      624

   -6    9     1850

   -6   10     2939

   -5   -9     1712

   -5   -8        0

   -5   -7     1984

   -5   -6     1750

   -5   -5     2536

   -5   -4     1884

   -5   -3     1922

   -5   -2     7657

   -5   -1      987

   -5    0     1564

   -5    1     2616

   -5    2      991

   -5    3     1927

   -5    4     2939

   -5    5     1984

   -5    6        0

   -5    7     1983

   -5    8     1644

   -5    9     5464

   -5   10      872

   -4   -9     2486

   -4   -8      703

   -4   -7     2961

   -4   -6    17250

   -4   -5      639

   -4   -4     2551

   -4   -3     1205

   -4   -2     1842

   -4   -1     1846

   -4    0     1850

   -4    1     1967

   -4    2     1873

   -4    3    19344

   -4    4     3969

   -4    5      981

   -4    6    15109

   -4    7    16155

   -4    8     1977

   -4    9     6629

   -4   10     4471

   -3   -9     1479

   -3   -8     2561

   -3   -7     1246

   -3   -6     1956

   -3   -5     1982

   -3   -4     2589

   -3   -3        0

   -3   -2     4975

   -3   -1    17850

   -3    0      962

   -3    1      999

   -3    2     3218

   -3    3     4719

   -3    4    15828

   -3    5     1157

   -3    6      985

   -3    7     4558

   -3    8     3967

   -3    9     2930

   -3   10     2671

   -2   -9        0

   -2   -8     3895

   -2   -7      604

   -2   -6     2569

   -2   -5     6427

   -2   -4     2303

   -2   -3      784

   -2   -2     2619

   -2   -1    17430

   -2    0      989

   -2    1     2455

   -2    2     1367

   -2    3     1764

   -2    4     4873

   -2    5    17449

   -2    6     1636

   -2    7     5063

   -2    8     3117

   -2    9     2241

   -2   10    18702

   -1   -9     2248

   -1   -8     2300

   -1   -7     2910

   -1   -6    17693

   -1   -5     1932

   -1   -4    17779

   -1   -3    32543

   -1   -2     2920

   -1   -1      656

   -1    0     4903

   -1    1    19343

   -1    2     1881

   -1    3      984

   -1    4    19311

   -1    5     1302

   -1    6     1885

   -1    7    32106

   -1    8     3526

   -1    9     1860

   -1   10     5622

    0   -9    16359

    0   -8     1790

    0   -7     1411

    0   -6      993

    0   -5      681

    0   -4     3588

    0   -3     2750

    0   -2    17237

    0   -1     4752

    0    0    17736

    0    1      676

    0    2      632

    0    3      927

    0    4     1738

    0    5     2728

    0    6     1815

    0    7    16810

    0    8     3500

    0    9     2493

    0   10     3611

    1   -9     1982

    1   -8     1277

    1   -7     3411

    1   -6     3221

    1   -5    17856

    1   -4     6873

    1   -3    34949

    1   -2     3076

    1   -1      662

    1    0     1931

    1    1     1346

    1    2     1918

    1    3    16649

    1    4    17509

    1    5    17934

    1    6     2838

    1    7     1633

    1    8     2439

    1    9     1473

    1   10     1905

    2   -9     1969

    2   -8     1960

    2   -7     2358

    2   -6     2448

    2   -5      932

    2   -4      986

    2   -3     2779

    2   -2     2080

    2   -1    17755

    2    0     2395

    2    1     3343

    2    2     2806

    2    3      598

    2    4     2765

    2    5    16110

    2    6     2689

    2    7     2467

    2    8     4661

    2    9     2807

    2   10     2902

    3   -9      992

    3   -8     1787

    3   -7      991

    3   -6     3826

    3   -5    17963

    3   -4     1086

    3   -3    17438

    3   -2     4055

    3   -1     1665

    3    0     2752

    3    1      983

    3    2      963

    3    3     1487

    3    4     4983

    3    5      988

    3    6     2841

    3    7     3856

    3    8     2564

    3    9     1326

    3   10     2695

    4   -9     3183

    4   -8      778

    4   -7     2499

    4   -6     1305

    4   -5     1569

    4   -4    17699

    4   -3    18312

    4   -2      861

    4   -1     2349

    4    0     2620

    4    1     1958

    4    2     1981

    4    3     2861

    4    4     3491

    4    5     1965

    4    6     3762

    4    7    13148

    4    8     5102

    4    9     2932

    4   10    20791

    5   -9     2853

    5   -8     4389

    5   -7      764

    5   -6        0

    5   -5     3915

    5   -4        0

    5   -3     5289

    5   -2    17885

    5   -1     3460

    5    0     1751

    5    1     2961

    5    2     1567

    5    3     1944

    5    4     2675

    5    5        0

    5    6     2077

    5    7     1512

    5    8        0

    5    9     6506

    5   10      506

    6   -9     1605

    6   -8     1847

    6   -7     1858

    6   -6     3983

    6   -5     2321

    6   -4     1778

    6   -3    19925

    6   -2    17521

    6   -1     1961

    6    0     1950

    6    1     4526

    6    2    15331

    6    3     2619

    6    4     2783

    6    5    14980

    6    6     5306

    6    7      985

    6    8     2602

    6    9     3169

    6   10     2091

    7   -9     2684

    7   -8     1358

    7   -7     2267

    7   -6     2564

    7   -5     2824

    7   -4     1989

    7   -3    31707

    7   -2      890

    7   -1     2449

    7    0     1782

    7    1     1046

    7    2     3889

    7    3     1959

    7    4     2051

    7    5     3897

    7    6        0

    7    7     3837

    7    8     3516

    7    9     1514

    7   10     1962

    8   -9    15779

    8   -8     3695

    8   -7      917

    8   -6     1663

    8   -5     1600

    8   -4     3026

    8   -3     1984

    8   -2     2257

    8   -1     3324

    8    0      986

    8    1     4172

    8    2    37118

    8    3    10699

    8    4     1665

    8    5     3553

    8    6     1536

    8    7     4681

    8    8     2913

    8    9     1880

    8   10     3363

    9   -9      932

    9   -8     1968

    9   -7     6423

    9   -6      995

    9   -5     1666

    9   -4      981

    9   -3    18105

    9   -2     1536

    9   -1    17515

    9    0      997

    9    1     2522

    9    2     6417

    9    3     2762

    9    4     2652

    9    5     2181

    9    6      980

    9    7     1527

    9    8      984

    9    9     6370

    9   10    11605

   10   -9     2918

   10   -8     3486

   10   -7      987

   10   -6     3840

   10   -5     2080

   10   -4      945

   10   -3        0

   10   -2        0

   10   -1     1673

   10    0    18234

   10    1    17972

   10    2      562

   10    3    19161

   10    4     4845

   10    5     1806

   10    6     2138

   10    7      938

   10    8        0

   10    9     1916

   10   10        0

